Study_ID,Scientific_name,Common_name,N_offspring_sampled,EPY_percent,N_broods_sampled,EPP_percent,Lat,Long,nest_box,marker_type,nest_type,year_of_study_START,year_of_study_END,study_duration,breeding_start,breeding_end,Scientific_name_amended,Jetz_name,Clements_name,BIRDBASE_clements_names,breeding_system,parental_care,mono_poly_model,cooperative_breeding,body_mass,CS_max,nest_type_model,marker_type_model,nest_box_model,study_duration_num,coloniality,migration,MonoBIRDBASE,PolyBIRDBASE,n_mixed_broods,n_non_mixed_broods,n_EPY_offspring,n_WPY_offspring
158Cramer2013,Troglodytes_aedon,house_wren,857,13.5,181,37.6,42.52,-76.47,yes,microsatellite,"CV,O,CR",NA,NA,#VALUE!,April,August,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,monogamy,biparental,mixed,NA,11.13333333,8,cavity,microsatellite,yes,NA,0,Weak,Mono,Poly,68,113,116,741
284Johnson2002,Troglodytes_aedon,house_wren,NA,NA,NA,NA,44.68,-106.98,yes,microsatellite,"CV,O,CR",1998,1999,2,April,August,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,monogamy,biparental,mixed,NA,11.13333333,8,cavity,microsatellite,yes,2,0,Weak,Mono,Poly,NA,NA,NA,NA
285Johnson2009,Troglodytes_aedon,house_wren,316,NA,79,36.7,44.67,-105.93,yes,microsatellite,"CV,O,CR",2006,2007,2,April,August,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,monogamy,biparental,mixed,NA,11.13333333,8,cavity,microsatellite,yes,2,0,Weak,Mono,Poly,29,50,NA,NA
253LaBarbera2010,Troglodytes_aedon,house_wren,377,24.9,82,53.7,42.52,-76.47,yes,microsatellite,"CV,O,CR",2004,2008,5,April,August,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,monogamy,biparental,mixed,NA,11.13333333,8,cavity,microsatellite,yes,5,0,Weak,Mono,Poly,44,38,94,283
253LaBarbera2010,Troglodytes_aedon,house_wren,166,15.7,40,32.5,-36.43,-56.94,yes,microsatellite,"CV,O,CR",2003,2004,2,October,January,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,monogamy,biparental,mixed,NA,11.13333333,8,cavity,microsatellite,yes,2,0,Weak,Mono,Poly,13,27,26,140
336Poirier2004,Troglodytes_aedon,house_wren,584,10.1,103,28.2,43.38,-88.02,yes,microsatellite,"CV,O,CR",1998,2000,3,April,August,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,monogamy,biparental,mixed,NA,11.13333333,8,cavity,microsatellite,yes,3,0,Weak,Mono,Poly,29,74,59,525
431Soukup1997,Troglodytes_aedon,house_wren,790,8.4,146,26.7,40.67,-88.88,yes,DNA_fingerprinting,"CV,O,CR",1991,1993,3,May,August,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,monogamy,biparental,mixed,NA,11.13333333,8,cavity,DNA_fingerprinting,yes,3,0,Weak,Mono,Poly,39,107,66,724
217Brommer2007,Troglodytes_troglodytes,Eurasian_wren,153,16.3,29,37.9,53.13,6.58,yes,microsatellite,DM,1999,2002,4,NA,NA,Troglodytes_troglodytes,Troglodytes_troglodytes,Troglodytes_troglodytes,Troglodytes_troglodytes,monogamy,biparental,mixed,NA,9.1,9,ground,microsatellite,yes,4,0,Strong,Mono,Poly,11,18,25,128
62Biagolini2017,Turdus_albicollis,white-necked_thrush,22,18.2,11,36.4,-24.07,-47.97,no,microsatellite,CP,2013,2015,3,September,February,Turdus_albicollis,Turdus_albicollis,Turdus_albicollis,Turdus_albicollis,monogamy,biparental,monogamy,NA,62.25,3,open,microsatellite,no,3,0,Weak,Mono,NA,4,7,4,18
47Stutchbury1998,Turdus_grayi,clay-colored_robin,37,37.8,19,52.6,9.12,-79.7,no,DNA_fingerprinting,CP,1994,1995,2,January,March,Turdus_grayi,Turdus_grayi,Turdus_grayi,Turdus_grayi,monogamy,biparental,monogamy,NA,78.65,4,open,DNA_fingerprinting,no,2,0,Weak,Mono,NA,10,9,14,23
261Rowe2007,Turdus_migratorius,American_robin,187,48.1,64,71.9,40.03,-88.17,no,microsatellite,CP,2003,2004,2,April,July,Turdus_migratorius,Turdus_migratorius,Turdus_migratorius,Turdus_migratorius,monogamy,biparental,monogamy,NA,79.63333333,4,open,microsatellite,no,2,0,Strong,Mono,NA,46,18,90,97
140Roeder2016,Tyrannus_forficatus,scissor-tailed_flycatchers,168,48.8,44,65.9,34.77,-98.48,no,microsatellite,CP,2008,2011,4,April,August,Tyrannus_forficatus,Tyrannus_forficatus,Tyrannus_forficatus,Tyrannus_forficatus,monogamy,biparental,monogamy,NA,41.7,6,open,microsatellite,no,4,0,Strong,Mono,NA,29,15,82,86
1Dolan2000,Tyrannus_tyrannus,Eastern_kingbird,264,47,89,60.7,43,-119,no,microsatellite,CP,2002,2004,3,May,August,Tyrannus_tyrannus,Tyrannus_tyrannus,Tyrannus_tyrannus,Tyrannus_tyrannus,monogamy,NA,monogamy,NA,42.2,5,open,microsatellite,no,3,0,Strong,Mono,NA,54,35,124,140
133Rowe2001,Tyrannus_tyrannus,Eastern_kingbird,64,42.2,20,60,43.3,-74.88,yes,DNA_fingerprinting,CP,1995,1996,2,April,July,Tyrannus_tyrannus,Tyrannus_tyrannus,Tyrannus_tyrannus,Tyrannus_tyrannus,monogamy,NA,monogamy,NA,42.2,5,open,DNA_fingerprinting,yes,2,0,Strong,Mono,NA,12,8,27,37
200Henry2013,Tyto_alba,barn_owl,455,1.3,95,2.1,46.82,6.95,yes,microsatellite,CV,1996,2011,16,April,October,Tyto_alba,Tyto_alba,Tyto_alba,Tyto_alba,monogamy,biparental,mixed,NA,345.6666667,16,cavity,microsatellite,yes,16,0,Weak,Mono,Poly,2,93,6,449
242Berthier2012,Upupa_epops,Eurasian_hoopoe,254,3.9,41,17.1,46.33,7.67,no,microsatellite,CV,2004,2004,1,April,August,Upupa_epops,Upupa_epops,Upupa_epops,Upupa_epops,monogamy,nk_cooperation,monogamy,yes,65.5,12,cavity,microsatellite,no,1,0,Strong,Mono,NA,7,34,10,244
321Martín-Vivaldi2002,Upupa_epops,Eurasian_hoopoe,65,10,20,10,37,-3,no,DNA_fingerprinting,CV,1995,1995,1,February,June,Upupa_epops,Upupa_epops,Upupa_epops,Upupa_epops,monogamy,nk_cooperation,monogamy,yes,65.5,12,cavity,DNA_fingerprinting,no,1,0,Strong,Mono,NA,2,18,6,59
