Lat_round,Long_round,n_study_identities,mixed_broods,total_broods,mixed_paternity
42.62,-5.43,1,13,19,0.6842105263157895
42.67,-73.05,1,20,33,0.6060606060606061
42.67,141.6,1,28,92,0.30434782608695654
42.72,-81.1,1,3,12,0.25
42.97,1.58,1,0,38,0
43,-119,1,54,89,0.6067415730337079
43,-84,1,6,42,0.14285714285714285
43,-70,1,107,120,0.8916666666666667
43.07,141.33,1,17,29,0.5862068965517241
43.16,-124.41,1,24,62,0.3870967741935484
43.25,-80.88,1,24,36,0.6666666666666666
43.3,-74.88,1,12,20,0.6
43.38,-88.02,4,153,318,0.4811320754716981
43.45,-88.92,1,0,11,0
43.53,-80.23,1,4,15,0.26666666666666666
43.6,-89.6,1,4,18,0.2222222222222222
43.66,3.67,1,23,50,0.46
43.67,-72.05,1,35,61,0.5737704918032787
43.67,3.67,2,136,243,0.5596707818930041
43.93,-71.75,1,40,117,0.3418803418803419
44,-72,1,55,77,0.7142857142857143
44,5,1,39,145,0.2689655172413793
44.08,-74.83,1,126,412,0.3058252427184466
44.15,-74.78,2,111,411,0.27007299270072993
44.33,-89.63,1,11,25,0.44
44.39,-73.27,1,23,40,0.575
44.5,-76.3,1,47,106,0.44339622641509435
44.55,-76.32,1,5,11,0.45454545454545453
44.57,-76.33,1,70,130,0.5384615384615384
44.57,-76.32,11,420,753,0.5577689243027888
44.58,-66.77,4,136,214,0.6355140186915887
44.58,-66.75,1,0,42,0
44.63,-107,1,66,92,0.717391304347826
44.67,-105.93,1,29,79,0.3670886075949367
44.7,-76.2,1,49,64,0.765625
44.75,-63.68,1,3,10,0.3
44.97,-90.05,1,15,44,0.3409090909090909
44.97,6.63,1,25,56,0.44642857142857145
45,-74,2,701,835,0.8395209580838323
45,126,1,35,64,0.546875
45.07,-67.03,1,19,32,0.59375
45.35,12.27,1,0,10,0
45.43,8.62,1,27,52,0.5192307692307693
45.47,9.18,1,41,190,0.21578947368421053
45.5,-122.68,1,101,228,0.44298245614035087
45.7,-89.62,1,0,47,0
46,6,1,1,37,0.02702702702702703
46.2,7.63,1,3,5,0.6
46.2,9.4,1,1,6,0.16666666666666666
46.25,20.13,1,4,19,0.21052631578947367
46.32,20.1,1,29,55,0.5272727272727272
46.33,7.67,1,7,41,0.17073170731707318
46.52,6.57,2,29,83,0.3493975903614458
46.78,9.85,1,32,258,0.12403100775193798
46.82,6.95,1,2,95,0.021052631578947368
46.85,-114.02,1,9,59,0.15254237288135594
46.88,-119.25,1,72,134,0.5373134328358209
46.88,-114.12,1,0,12,0
46.9,6.93,1,134,213,0.6291079812206573
46.91,23.91,1,1,6,0.16666666666666666
46.96,17.89,1,32,86,0.37209302325581395
47,8,1,102,181,0.56353591160221
47.08,17.83,1,15,47,0.3191489361702128
47.17,-94.42,1,1,9,0.1111111111111111
47.33,-2.87,1,44,69,0.6376811594202898
47.42,7.55,1,2,10,0.2
47.53,12.93,1,4,26,0.15384615384615385
47.65,-122.03,1,26,72,0.3611111111111111
47.7,19.02,1,25,45,0.5555555555555556
47.72,19.02,1,28,44,0.6363636363636364
47.93,16.75,2,20,62,0.3225806451612903
47.93,17.72,1,9,52,0.17307692307692307
47.97,11.23,1,16,53,0.3018867924528302
47.99,17.34,1,3,87,0.034482758620689655
48.02,-122.05,1,18,28,0.6428571428571429
48.08,-4.58,1,0,86,0
48.13,10.88,2,233,520,0.4480769230769231
48.14,10.89,1,706,1583,0.4459886291850916
48.17,16.3,2,30,81,0.37037037037037035
48.22,16.27,1,0,49,0
48.22,16.33,1,320,561,0.5704099821746881
48.28,4.28,1,41,84,0.4880952380952381
48.3,21.08,1,15,41,0.36585365853658536
48.53,9.05,1,12,32,0.375
48.58,19.3,1,0,36,0
48.6,-123.3,1,518,1177,0.44010195412064573
48.62,-99.08,1,8,29,0.27586206896551724
48.68,-113.72,1,3,18,0.16666666666666666
48.82,13.93,1,31,116,0.2672413793103448
48.92,17.08,1,10,30,0.3333333333333333
49.07,14.7,1,82,160,0.5125
49.07,14.73,1,15,25,0.6
49.15,14.72,1,12,25,0.48
49.38,-88.02,1,1,9,0.1111111111111111
49.4,-110.7,1,15,191,0.078534031413612565
49.5,8.17,1,13,28,0.4642857142857143
49.53,17.07,2,91,162,0.5617283950617284
49.67,10.85,1,5,48,0.10416666666666667
50.1,20.4,1,27,78,0.34615384615384615
50.18,-98.38,1,18,42,0.42857142857142855
50.37,10.75,1,3,33,0.09090909090909091
50.5,30.82,1,9,18,0.5
50.67,-120.33,1,19,44,0.4318181818181818
50.92,11.57,1,1,15,0.06666666666666667
50.93,13.97,1,3,46,0.06521739130434782
51,-122,1,115,177,0.6497175141242938
51,-4,2,427,1227,0.3480032599837001
51.17,-4.63,1,14,52,0.2692307692307692
51.22,4.67,1,4,14,0.2857142857142857
51.25,4.47,1,69,165,0.41818181818181815
51.27,6.37,1,0,16,0
51.42,7.65,1,31,78,0.3974358974358974
51.45,-105.17,1,0,15,0
51.45,-0.55,1,16,85,0.18823529411764706
51.48,4.93,1,6,20,0.3
51.53,17.33,1,56,259,0.21621621621621623
51.67,21.58,1,2,24,0.08333333333333333
51.73,18.63,2,11,47,0.23404255319148937
51.75,-5.28,1,6,77,0.07792207792207792
51.75,-1.25,1,4,42,0.09523809523809523
51.75,4.75,1,89,121,0.7355371900826446
51.77,-1.33,1,50,160,0.3125
51.77,-1.13,1,80,164,0.4878048780487805
51.87,-122.03,1,0,46,0
51.9,11,1,1,50,0.02
52,5.83,1,25,99,0.25252525252525254
52,22,1,1,10,0.1
52.03,5.85,1,18,93,0.1935483870967742
52.12,-106.63,1,0,18,0
52.13,-1.13,1,50,58,0.8620689655172413
52.15,10.32,1,1,4,0.25
52.18,0.12,1,1,45,0.022222222222222223
52.23,21.01,1,119,304,0.39144736842105265
52.28,20.95,1,56,125,0.448
52.3,0.3,1,8,52,0.15384615384615385
52.33,11,1,15,20,0.75
52.37,11.02,1,90,265,0.33962264150943394
52.38,-1.57,1,8,254,0.031496062992125984
52.4,12.97,1,13,28,0.4642857142857143
52.45,7.25,2,363,647,0.5610510046367851
52.53,7.35,1,4,31,0.12903225806451613
52.63,-1.13,1,0,20,0
